scientificName,decimalLongitude,decimalLatitude
diplacus_calycinus,-118.6009876,35.5519435
diplacus_calycinus,-117.2918924,34.02730154
diplacus_calycinus,-116.6117523,33.68689116
diplacus_calycinus,-118.2427667,35.52786667
diplacus_calycinus,-118.2427667,35.52786667
diplacus_calycinus,-116.1640393,34.01796543
diplacus_calycinus,-117.3213812,33.93068566
diplacus_calycinus,-116.4968184,34.19340249
diplacus_calycinus,-119.0294953,36.40159344
diplacus_calycinus,-117.9184722,35.71034167
diplacus_calycinus,-116.6620209,33.99083856
diplacus_calycinus,-116.1423925,34.0294194
diplacus_calycinus,-116.6486206,33.69773982
diplacus_calycinus,-117.630969,34.267047
diplacus_calycinus,-118.79603,36.54139
diplacus_calycinus,-117.5079721,34.2458428
diplacus_calycinus,-116.18643,34.05319167
diplacus_calycinus,-117.2989916,33.98289287
diplacus_calycinus,-117.9286769,35.7166121
diplacus_calycinus,-116.7056263,34.02644204
diplacus_calycinus,-118.4518367,35.637855
diplacus_calycinus,-116.1511336,34.03258326
diplacus_calycinus,-118.081777,34.41349673
diplacus_calycinus,-116.1660862,34.04014266
diplacus_calycinus,-117.666771,34.230282
diplacus_calycinus,-117.3051865,34.25962867
diplacus_calycinus,-116.677095,33.78785722
diplacus_calycinus,-117.6334656,34.2668961
diplacus_calycinus,-116.2172165,34.08174648
diplacus_calycinus,-116.6518282,33.70727007
diplacus_calycinus,-116.8181299,34.09911857
diplacus_calycinus,-118.7661123,36.57493173
diplacus_calycinus,-119.5595741,37.06950546
diplacus_calycinus,-118.8353418,36.82254981
diplacus_calycinus,-116.7278153,33.73548989
diplacus_calycinus,-118.0989687,35.76203658
diplacus_calycinus,-116.4426631,33.59088029
diplacus_calycinus,-116.8478867,33.52271333
diplacus_calycinus,-116.979332,34.06903761
diplacus_calycinus,-116.852404,34.0481524
diplacus_calycinus,-118.3850236,35.71907345
diplacus_calycinus,-116.8908278,34.08509866
diplacus_calycinus,-116.956418,34.0986227
diplacus_calycinus,-119.1238638,36.75906667
diplacus_calycinus,-118.7714767,36.55948664
diplacus_calycinus,-115.9009552,33.87355116
diplacus_calycinus,-115.9009552,33.87355116
diplacus_calycinus,-116.2441023,34.06484743
diplacus_calycinus,-118.7305589,36.53438002
diplacus_calycinus,-117.9179184,35.71069822
diplacus_calycinus,-118.4870566,35.67695178
diplacus_calycinus,-116.1792421,34.02453968
diplacus_calycinus,-118.0719778,35.78507525
diplacus_calycinus,-118.8399283,36.44846167
diplacus_calycinus,-118.1645843,35.72822287
diplacus_calycinus,-117.925804,35.715653
diplacus_calycinus,-117.3931013,33.98390362
diplacus_calycinus,-117.9294894,35.7124854
diplacus_calycinus,-118.75371,36.526295
diplacus_calycinus,-118.622275,35.33564667
diplacus_calycinus,-116.8619444,33.89038333
diplacus_calycinus,-116.550687,34.159916
diplacus_calycinus,-117.1503362,34.18179667
diplacus_calycinus,-117.4709117,34.03211667
diplacus_calycinus,-116.1784233,34.028245
diplacus_calycinus,-116.1822222,34.02666667
diplacus_calycinus,-118.6679083,36.1562305
diplacus_calycinus,-116.1863889,34.05277778
diplacus_calycinus,-117.9175083,35.71134167
diplacus_calycinus,-117.3074467,33.92548333
diplacus_calycinus,-117.3023983,33.924095
diplacus_calycinus,-118.5987167,36.79320833
diplacus_calycinus,-118.4776732,36.089369
diplacus_calycinus,-117.630975,34.26704333
diplacus_calycinus,-118.7788,36.54440556
diplacus_calycinus,-117.313266,34.189298
diplacus_calycinus,-119.1239546,36.75998997
diplacus_calycinus,-116.8741887,34.07800278
diplacus_calycinus,-116.95713,34.096215
diplacus_calycinus,-117.91783,35.709975
diplacus_calycinus,-116.055908,34.00956
diplacus_calycinus,-118.7823115,35.45001011
diplacus_calycinus,-116.5603867,34.21377945
diplacus_calycinus,-118.8003783,36.513355
diplacus_calycinus,-116.2539978,34.02597809
diplacus_calycinus,-118.3729434,35.67347406
diplacus_calycinus,-118.4887719,35.65621529
diplacus_calycinus,-118.4882033,35.6346889
diplacus_calycinus,-116.8832779,34.08307648
diplacus_calycinus,-118.7857361,36.54678056
diplacus_calycinus,-118.8414367,36.486305
diplacus_calycinus,-118.673439,36.16012955
diplacus_calycinus,-116.7376331,33.74532783
diplacus_calycinus,-116.5718079,33.58481979
diplacus_calycinus,-118.3267139,35.67447739
diplacus_calycinus,-118.6932907,36.16054916
diplacus_calycinus,-118.6173617,35.53430953
diplacus_calycinus,-116.3261108,34.09527588
diplacus_calycinus,-118.8368278,36.48716667
diplacus_calycinus,-118.7788556,36.51991111
diplacus_calycinus,-116.5662528,33.61426183
diplacus_calycinus,-116.6292933,33.70562667
diplacus_calycinus,-118.23585,35.571551
diplacus_calycinus,-116.683233,33.71408306
diplacus_calycinus,-116.7033811,33.72182417
diplacus_calycinus,-116.7004344,33.72104833
diplacus_calycinus,-116.6943767,33.71871833
diplacus_calycinus,-118.31431,35.70800333
diplacus_calycinus,-116.580755,33.63515667
diplacus_calycinus,-118.7826639,35.44993611
diplacus_calycinus,-116.9839544,33.79338739
diplacus_calycinus,-116.7170445,33.71434308
diplacus_calycinus,-116.7170409,33.71437625
diplacus_calycinus,-116.7171289,33.71454589
diplacus_calycinus,-116.8833593,34.08299225
diplacus_calycinus,-118.6938635,35.50014491
diplacus_calycinus,-116.7248798,33.72076258
diplacus_calycinus,-116.1329306,34.03995278
diplacus_calycinus,-117.944309,35.783403
diplacus_calycinus,-116.1614612,34.03215
diplacus_calycinus,-116.6633444,33.98238889
diplacus_calycinus,-118.7820617,35.45044833
diplacus_calycinus,-118.7799333,35.45683611
diplacus_calycinus,-116.1613778,34.03814167
diplacus_calycinus,-117.0968786,34.04511014
diplacus_calycinus,-116.7816611,33.78281944
diplacus_calycinus,-118.5221222,35.58641111
diplacus_calycinus,-118.6918913,35.50357628
diplacus_calycinus,-116.9770338,34.11941719
diplacus_calycinus,-116.8629367,33.90589722
diplacus_calycinus,-116.8628876,33.90175119
diplacus_calycinus,-116.8629116,33.90171147
